SnapshotMonth,Region,ProductID,OpeningStock,Received,Sold,ClosingStock,ReorderLevel
2024-01-01,West,SKU009,283,101,787,0,189
2024-01-01,Central,SKU009,479,539,182,836,244
2024-01-01,North,SKU010,629,697,507,819,171
2024-01-01,South,SKU010,995,337,692,640,254
2024-01-01,East,SKU010,1033,602,701,934,185
2024-01-01,West,SKU010,251,718,747,222,158
2024-01-01,Central,SKU010,876,657,617,916,240
2024-01-01,North,SKU011,829,247,511,565,154
2024-01-01,South,SKU011,976,660,363,1273,329
2024-01-01,East,SKU011,500,490,179,811,218
2024-01-01,West,SKU011,1092,789,336,1545,208
2024-01-01,Central,SKU011,1197,369,749,817,325
2024-01-01,North,SKU012,1021,139,249,911,337
2024-01-01,South,SKU012,810,146,225,731,245
2024-01-01,East,SKU012,398,780,892,286,199
2024-01-01,West,SKU012,469,172,680,0,231
2024-01-01,Central,SKU012,748,207,405,550,245
2024-01-01,North,SKU013,1078,555,781,852,192
2024-01-01,South,SKU013,1017,485,871,631,205
2024-01-01,East,SKU013,614,436,417,633,172
2024-01-01,West,SKU013,1021,166,498,689,211
2024-01-01,Central,SKU013,1140,633,162,1611,287
2024-01-01,North,SKU014,728,254,213,769,230
2024-01-01,South,SKU014,1147,481,455,1173,251
2024-01-01,East,SKU014,1075,719,499,1295,315
2024-01-01,West,SKU014,985,328,381,932,291
2024-01-01,Central,SKU014,509,236,751,0,198
2024-01-01,North,SKU015,237,738,304,671,277
2024-01-01,South,SKU015,346,660,659,347,267
2024-01-01,East,SKU015,642,207,800,49,205
2024-01-01,West,SKU015,606,453,771,288,328
2024-01-01,Central,SKU015,483,663,512,634,321
2024-01-01,North,SKU016,680,318,686,312,302
2024-01-01,South,SKU016,924,477,415,986,201
2024-01-01,East,SKU016,862,140,497,505,310
2024-01-01,West,SKU016,971,336,864,443,249
2024-01-01,Central,SKU016,414,297,590,121,246
2024-01-01,North,SKU017,1102,744,650,1196,333
2024-01-01,South,SKU017,241,511,455,297,177
2024-01-01,East,SKU017,518,306,828,0,169
2024-01-01,West,SKU017,742,761,292,1211,248
2024-01-01,Central,SKU017,691,311,636,366,256
2024-01-01,North,SKU018,579,527,259,847,182
2024-01-01,South,SKU018,610,180,237,553,242
2024-01-01,East,SKU018,1077,208,591,694,249
2024-01-01,West,SKU018,272,189,638,0,179
2024-01-01,Central,SKU018,642,745,326,1061,216
2024-01-01,North,SKU019,397,252,150,499,348
2024-01-01,South,SKU019,543,735,827,451,152
2024-01-01,East,SKU019,561,603,694,470,270
2024-01-01,West,SKU019,228,308,567,0,315
2024-01-01,Central,SKU019,944,583,796,731,201
2024-01-01,North,SKU020,552,401,328,625,287
2024-01-01,South,SKU020,577,648,268,957,212
2024-01-01,East,SKU020,732,487,218,1001,225
2024-01-01,West,SKU020,736,444,442,738,209
2024-01-01,Central,SKU020,1102,242,723,621,154
2024-01-01,North,SKU021,332,169,853,0,292
2024-01-01,South,SKU021,1013,472,723,762,185
2024-01-01,East,SKU021,502,300,637,165,246
2024-01-01,West,SKU021,760,219,188,791,339
2024-01-01,Central,SKU021,970,695,889,776,244
2024-01-01,North,SKU022,491,609,536,564,254
2024-01-01,South,SKU022,983,511,829,665,282
2024-01-01,East,SKU022,203,305,604,0,276
2024-01-01,West,SKU022,892,274,581,585,270
2024-01-01,Central,SKU022,559,549,542,566,348
2024-02-01,North,SKU001,557,186,845,0,226
2024-02-01,South,SKU001,991,662,604,1049,206
2024-02-01,East,SKU001,574,441,317,698,156
2024-02-01,West,SKU001,476,599,455,620,261
2024-02-01,Central,SKU001,623,702,355,970,230
2024-02-01,North,SKU002,473,707,558,622,325
2024-02-01,South,SKU002,966,528,361,1133,235
2024-02-01,East,SKU002,1034,383,603,814,171
2024-02-01,West,SKU002,629,535,698,466,331
2024-02-01,Central,SKU002,414,157,603,0,155
2024-02-01,North,SKU003,897,706,878,725,188
2024-02-01,South,SKU003,704,306,600,410,263
2024-02-01,East,SKU003,862,509,238,1133,179
2024-02-01,West,SKU003,1120,746,675,1191,258
2024-02-01,Central,SKU003,628,411,213,826,345
2024-02-01,North,SKU004,669,648,667,650,237
2024-02-01,South,SKU004,531,557,602,486,159
2024-02-01,East,SKU004,434,374,239,569,285
2024-02-01,West,SKU004,1092,298,305,1085,349
2024-02-01,Central,SKU004,831,654,635,850,348
2024-02-01,North,SKU005,1044,428,435,1037,269
2024-02-01,South,SKU005,472,143,218,397,329
2024-02-01,East,SKU005,990,221,840,371,199
2024-02-01,West,SKU005,599,405,368,636,154
2024-02-01,Central,SKU005,463,521,833,151,236
2024-02-01,North,SKU006,593,787,698,682,327
2024-02-01,South,SKU006,820,419,516,723,169
2024-02-01,East,SKU006,481,374,695,160,288
2024-02-01,West,SKU006,637,567,250,954,180
2024-02-01,Central,SKU006,647,238,822,63,195
2024-02-01,North,SKU007,691,558,781,468,158
2024-02-01,South,SKU007,629,154,168,615,208
2024-02-01,East,SKU007,678,293,169,802,211
2024-02-01,West,SKU007,414,268,288,394,309
2024-02-01,Central,SKU007,437,627,328,736,292
2024-02-01,North,SKU008,1060,304,434,930,190
2024-02-01,South,SKU008,991,106,190,907,222
2024-02-01,East,SKU008,301,614,278,637,334
2024-02-01,West,SKU008,505,240,169,576,170
2024-02-01,Central,SKU008,224,104,640,0,329
2024-02-01,North,SKU009,1187,726,594,1319,341
2024-02-01,South,SKU009,779,180,184,775,267
2024-02-01,East,SKU009,906,789,690,1005,237
2024-02-01,West,SKU009,612,235,736,111,242
2024-02-01,Central,SKU009,721,539,175,1085,318
2024-02-01,North,SKU010,205,571,206,570,305
2024-02-01,South,SKU010,322,735,741,316,177
2024-02-01,East,SKU010,1142,309,201,1250,204
2024-02-01,West,SKU010,881,456,591,746,327
2024-02-01,Central,SKU010,298,696,442,552,293
2024-02-01,North,SKU011,792,159,221,730,169
2024-02-01,South,SKU011,392,400,421,371,181
2024-02-01,East,SKU011,214,289,641,0,198
2024-02-01,West,SKU011,486,382,203,665,181
2024-02-01,Central,SKU011,299,707,319,687,244
2024-02-01,North,SKU012,573,419,616,376,219
2024-02-01,South,SKU012,1079,185,859,405,257
2024-02-01,East,SKU012,889,318,599,608,213
2024-02-01,West,SKU012,231,359,162,428,286
2024-02-01,Central,SKU012,343,608,218,733,201
2024-02-01,North,SKU013,664,526,496,694,287
2024-02-01,South,SKU013,1195,379,843,731,245
2024-02-01,East,SKU013,343,377,843,0,237
2024-02-01,West,SKU013,1041,326,692,675,253
2024-02-01,Central,SKU013,682,510,851,341,309
2024-02-01,North,SKU014,392,560,196,756,300
2024-02-01,South,SKU014,974,228,512,690,214
2024-02-01,East,SKU014,668,426,439,655,156
2024-02-01,West,SKU014,1196,326,459,1063,202
2024-02-01,Central,SKU014,424,545,479,490,218
2024-02-01,North,SKU015,794,384,183,995,330
2024-02-01,South,SKU015,574,593,404,763,155
2024-02-01,East,SKU015,778,358,600,536,251
2024-02-01,West,SKU015,603,601,742,462,277
2024-02-01,Central,SKU015,899,361,859,401,313
2024-02-01,North,SKU016,901,718,818,801,291
2024-02-01,South,SKU016,516,143,845,0,321
2024-02-01,East,SKU016,931,233,388,776,309
2024-02-01,West,SKU016,790,226,850,166,310
2024-02-01,Central,SKU016,946,255,649,552,276
2024-02-01,North,SKU017,1038,566,338,1266,283
2024-02-01,South,SKU017,1195,717,159,1753,174
2024-02-01,East,SKU017,1135,567,524,1178,283
2024-02-01,West,SKU017,1160,792,243,1709,160
2024-02-01,Central,SKU017,1091,170,628,633,224
2024-02-01,North,SKU018,1144,218,157,1205,224
2024-02-01,South,SKU018,804,660,691,773,323
2024-02-01,East,SKU018,904,167,860,211,293
2024-02-01,West,SKU018,380,628,536,472,159
2024-02-01,Central,SKU018,886,798,482,1202,273
2024-02-01,North,SKU019,498,515,510,503,155
2024-02-01,South,SKU019,789,515,769,535,185
2024-02-01,East,SKU019,524,715,489,750,305
2024-02-01,West,SKU019,399,642,604,437,190
2024-02-01,Central,SKU019,775,689,587,877,234
2024-02-01,North,SKU020,338,453,567,224,243
2024-02-01,South,SKU020,968,674,308,1334,192
2024-02-01,East,SKU020,403,566,702,267,194
2024-02-01,West,SKU020,1060,798,740,1118,329
2024-02-01,Central,SKU020,555,270,472,353,256
2024-02-01,North,SKU021,718,287,465,540,150
2024-02-01,South,SKU021,218,584,395,407,160
2024-02-01,East,SKU021,1002,432,341,1093,346
2024-02-01,West,SKU021,985,709,786,908,196
2024-02-01,Central,SKU021,895,730,576,1049,163
2024-02-01,North,SKU022,764,271,426,609,280
2024-02-01,South,SKU022,727,331,370,688,339
2024-02-01,East,SKU022,876,462,532,806,164
2024-02-01,West,SKU022,897,332,736,493,201
2024-02-01,Central,SKU022,819,643,267,1195,282
2024-03-01,North,SKU001,731,212,692,251,274
2024-03-01,South,SKU001,743,179,154,768,197
2024-03-01,East,SKU001,574,183,690,67,200
2024-03-01,West,SKU001,300,133,588,0,277
2024-03-01,Central,SKU001,344,465,680,129,278
2024-03-01,North,SKU002,758,365,861,262,161
2024-03-01,South,SKU002,208,673,404,477,226
2024-03-01,East,SKU002,579,720,586,713,225
2024-03-01,West,SKU002,1148,541,725,964,339
2024-03-01,Central,SKU002,992,719,322,1389,252
2024-03-01,North,SKU003,393,123,455,61,196
2024-03-01,South,SKU003,503,659,715,447,217
2024-03-01,East,SKU003,662,538,721,479,314
2024-03-01,West,SKU003,312,732,819,225,263
2024-03-01,Central,SKU003,710,711,893,528,195
2024-03-01,North,SKU004,684,308,327,665,185
2024-03-01,South,SKU004,365,494,625,234,255
2024-03-01,East,SKU004,996,434,839,591,214
2024-03-01,West,SKU004,369,396,292,473,305
2024-03-01,Central,SKU004,648,199,328,519,195
2024-03-01,North,SKU005,1008,307,394,921,312
2024-03-01,South,SKU005,616,244,157,703,185
2024-03-01,East,SKU005,248,603,586,265,286
2024-03-01,West,SKU005,1057,465,486,1036,326
2024-03-01,Central,SKU005,1090,448,183,1355,289
2024-03-01,North,SKU006,1092,308,589,811,236
2024-03-01,South,SKU006,539,180,225,494,204
2024-03-01,East,SKU006,436,717,770,383,176
2024-03-01,West,SKU006,1184,724,203,1705,223
2024-03-01,Central,SKU006,356,596,426,526,189
2024-03-01,North,SKU007,1177,327,248,1256,211
2024-03-01,South,SKU007,1137,212,377,972,191
2024-03-01,East,SKU007,668,250,371,547,306
2024-03-01,West,SKU007,910,698,206,1402,300
2024-03-01,Central,SKU007,1043,581,520,1104,324
2024-03-01,North,SKU008,319,479,347,451,239
2024-03-01,South,SKU008,307,262,574,0,239
2024-03-01,East,SKU008,1127,678,334,1471,344
2024-03-01,West,SKU008,1127,145,339,933,300
2024-03-01,Central,SKU008,361,603,795,169,258
2024-03-01,North,SKU009,743,532,412,863,280
2024-03-01,South,SKU009,897,260,493,664,230
2024-03-01,East,SKU009,267,436,647,56,254
2024-03-01,West,SKU009,878,357,524,711,158
2024-03-01,Central,SKU009,758,486,167,1077,219
2024-03-01,North,SKU010,473,772,295,950,319
2024-03-01,South,SKU010,1014,232,289,957,307
2024-03-01,East,SKU010,962,518,581,899,266
2024-03-01,West,SKU010,589,495,708,376,344
2024-03-01,Central,SKU010,649,395,700,344,327
2024-03-01,North,SKU011,1024,666,356,1334,159
2024-03-01,South,SKU011,1023,405,515,913,285
2024-03-01,East,SKU011,919,781,872,828,320
2024-03-01,West,SKU011,398,580,665,313,248
2024-03-01,Central,SKU011,1165,681,224,1622,227
2024-03-01,North,SKU012,603,245,307,541,322
2024-03-01,South,SKU012,888,480,176,1192,331
2024-03-01,East,SKU012,1157,514,295,1376,316
2024-03-01,West,SKU012,957,201,882,276,331
2024-03-01,Central,SKU012,601,413,599,415,310
2024-03-01,North,SKU013,1055,710,316,1449,223
2024-03-01,South,SKU013,879,756,830,805,169
2024-03-01,East,SKU013,349,607,588,368,153
2024-03-01,West,SKU013,1106,262,896,472,209
2024-03-01,Central,SKU013,757,421,520,658,254
2024-03-01,North,SKU014,423,511,436,498,226
2024-03-01,South,SKU014,941,447,589,799,242
2024-03-01,East,SKU014,1039,251,434,856,240
2024-03-01,West,SKU014,853,410,298,965,349
2024-03-01,Central,SKU014,284,560,245,599,235
2024-03-01,North,SKU015,986,220,890,316,305
2024-03-01,South,SKU015,1191,288,773,706,231
2024-03-01,East,SKU015,1100,290,659,731,173
2024-03-01,West,SKU015,651,360,792,219,275
2024-03-01,Central,SKU015,314,778,279,813,165
2024-03-01,North,SKU016,630,720,660,690,335
2024-03-01,South,SKU016,939,769,598,1110,319
2024-03-01,East,SKU016,774,169,473,470,194
2024-03-01,West,SKU016,650,447,350,747,225
2024-03-01,Central,SKU016,935,160,191,904,216
2024-03-01,North,SKU017,1195,653,397,1451,322
2024-03-01,South,SKU017,677,509,539,647,151
2024-03-01,East,SKU017,477,173,587,63,231
2024-03-01,West,SKU017,1140,301,319,1122,171
2024-03-01,Central,SKU017,1195,111,518,788,269
2024-03-01,North,SKU018,203,289,306,186,238
2024-03-01,South,SKU018,733,415,365,783,213
2024-03-01,East,SKU018,834,146,776,204,151
2024-03-01,West,SKU018,389,773,878,284,232
2024-03-01,Central,SKU018,496,532,805,223,349
2024-03-01,North,SKU019,684,154,319,519,236
2024-03-01,South,SKU019,427,392,236,583,172
2024-03-01,East,SKU019,1077,624,364,1337,242
2024-03-01,West,SKU019,609,480,224,865,160
2024-03-01,Central,SKU019,349,496,394,451,333
2024-03-01,North,SKU020,833,458,697,594,268
2024-03-01,South,SKU020,396,405,815,0,287
2024-03-01,East,SKU020,556,210,705,61,315
2024-03-01,West,SKU020,319,738,554,503,268
2024-03-01,Central,SKU020,1075,622,539,1158,344
2024-03-01,North,SKU021,658,778,538,898,161
2024-03-01,South,SKU021,518,619,268,869,241
2024-03-01,East,SKU021,793,356,614,535,259
2024-03-01,West,SKU021,284,704,504,484,176
2024-03-01,Central,SKU021,331,377,720,0,283
2024-03-01,North,SKU022,844,798,812,830,173
2024-03-01,South,SKU022,941,462,647,756,320
2024-03-01,East,SKU022,826,559,531,854,213
2024-03-01,West,SKU022,1048,125,479,694,285
2024-03-01,Central,SKU022,760,549,747,562,235
2024-04-01,North,SKU001,1031,508,509,1030,202
2024-04-01,South,SKU001,1055,593,567,1081,316
2024-04-01,East,SKU001,605,492,871,226,341
2024-04-01,West,SKU001,898,740,403,1235,319
2024-04-01,Central,SKU001,542,377,845,74,326
2024-04-01,North,SKU002,531,580,573,538,329
2024-04-01,South,SKU002,474,571,666,379,300
2024-04-01,East,SKU002,733,704,466,971,326
2024-04-01,West,SKU002,951,535,308,1178,244
2024-04-01,Central,SKU002,1054,473,201,1326,291
2024-04-01,North,SKU003,341,214,565,0,158
2024-04-01,South,SKU003,674,337,480,531,174
2024-04-01,East,SKU003,1182,153,349,986,313
2024-04-01,West,SKU003,836,353,585,604,251
2024-04-01,Central,SKU003,435,405,573,267,215
2024-04-01,North,SKU004,1191,246,277,1160,221
2024-04-01,South,SKU004,379,258,358,279,191
2024-04-01,East,SKU004,740,730,504,966,235
2024-04-01,West,SKU004,963,534,839,658,269
2024-04-01,Central,SKU004,905,606,569,942,211
2024-04-01,North,SKU005,318,121,307,132,180
2024-04-01,South,SKU005,953,697,604,1046,175
2024-04-01,East,SKU005,214,753,620,347,276
2024-04-01,West,SKU005,628,603,774,457,226
2024-04-01,Central,SKU005,595,538,527,606,215
2024-04-01,North,SKU006,821,732,617,936,290
2024-04-01,South,SKU006,1150,731,501,1380,202
2024-04-01,East,SKU006,1024,490,754,760,288
2024-04-01,West,SKU006,996,675,183,1488,218
2024-04-01,Central,SKU006,657,218,705,170,326
2024-04-01,North,SKU007,647,410,572,485,197
2024-04-01,South,SKU007,1142,347,646,843,322
2024-04-01,East,SKU007,1079,214,557,736,256
2024-04-01,West,SKU007,294,554,660,188,255
2024-04-01,Central,SKU007,711,464,655,520,221
2024-04-01,North,SKU008,897,321,665,553,348
2024-04-01,South,SKU008,988,640,834,794,206
2024-04-01,East,SKU008,875,158,514,519,335
2024-04-01,West,SKU008,807,753,628,932,207
2024-04-01,Central,SKU008,453,625,564,514,273
2024-04-01,North,SKU009,1033,498,276,1255,225
2024-04-01,South,SKU009,350,431,718,63,310
2024-04-01,East,SKU009,1171,294,583,882,273
2024-04-01,West,SKU009,505,793,705,593,210
2024-04-01,Central,SKU009,1025,354,248,1131,272
2024-04-01,North,SKU010,634,685,726,593,159
2024-04-01,South,SKU010,796,463,799,460,198
2024-04-01,East,SKU010,415,177,859,0,324
2024-04-01,West,SKU010,786,392,352,826,229
2024-04-01,Central,SKU010,918,478,713,683,298
2024-04-01,North,SKU011,571,731,524,778,278
2024-04-01,South,SKU011,808,454,861,401,294
2024-04-01,East,SKU011,797,270,316,751,219
2024-04-01,West,SKU011,1191,267,804,654,246
2024-04-01,Central,SKU011,515,243,255,503,154
2024-04-01,North,SKU012,1045,715,254,1506,193
2024-04-01,South,SKU012,560,508,869,199,205
2024-04-01,East,SKU012,365,148,634,0,153
2024-04-01,West,SKU012,557,443,638,362,183
2024-04-01,Central,SKU012,617,429,834,212,227
2024-04-01,North,SKU013,1077,134,313,898,253
2024-04-01,South,SKU013,1187,608,645,1150,159
2024-04-01,East,SKU013,647,717,253,1111,255
2024-04-01,West,SKU013,829,253,504,578,220
2024-04-01,Central,SKU013,1056,380,599,837,211
2024-04-01,North,SKU014,645,529,803,371,316
2024-04-01,South,SKU014,325,214,395,144,282
2024-04-01,East,SKU014,659,207,425,441,260
2024-04-01,West,SKU014,674,357,467,564,288
2024-04-01,Central,SKU014,615,527,654,488,264
2024-04-01,North,SKU015,753,273,294,732,298
2024-04-01,South,SKU015,984,546,812,718,266
2024-04-01,East,SKU015,277,679,893,63,300
2024-04-01,West,SKU015,973,726,480,1219,150
2024-04-01,Central,SKU015,987,414,355,1046,272
2024-04-01,North,SKU016,408,771,203,976,249
2024-04-01,South,SKU016,936,266,691,511,162
2024-04-01,East,SKU016,325,489,398,416,224
2024-04-01,West,SKU016,921,689,342,1268,268
2024-04-01,Central,SKU016,689,213,198,704,291
2024-04-01,North,SKU017,493,424,299,618,188
2024-04-01,South,SKU017,1176,660,709,1127,193
2024-04-01,East,SKU017,771,758,249,1280,199
2024-04-01,West,SKU017,766,697,671,792,199
2024-04-01,Central,SKU017,310,749,626,433,277
2024-04-01,North,SKU018,960,461,552,869,310
2024-04-01,South,SKU018,700,659,392,967,155
2024-04-01,East,SKU018,578,159,737,0,278
2024-04-01,West,SKU018,473,544,738,279,177
2024-04-01,Central,SKU018,486,449,744,191,336
2024-04-01,North,SKU019,923,191,859,255,258
2024-04-01,South,SKU019,540,195,199,536,311
2024-04-01,East,SKU019,491,226,311,406,201
2024-04-01,West,SKU019,423,723,677,469,176
2024-04-01,Central,SKU019,215,787,453,549,246
2024-04-01,North,SKU020,375,783,867,291,194
2024-04-01,South,SKU020,213,386,817,0,244
2024-04-01,East,SKU020,869,411,669,611,158
2024-04-01,West,SKU020,274,684,652,306,252
2024-04-01,Central,SKU020,613,572,609,576,246
2024-04-01,North,SKU021,435,771,340,866,207
2024-04-01,South,SKU021,395,438,556,277,243
2024-04-01,East,SKU021,480,406,263,623,253
2024-04-01,West,SKU021,689,450,850,289,270
2024-04-01,Central,SKU021,1088,754,877,965,311
2024-04-01,North,SKU022,814,353,495,672,248
2024-04-01,South,SKU022,929,555,509,975,263
2024-04-01,East,SKU022,945,350,423,872,340
2024-04-01,West,SKU022,1112,670,163,1619,343
2024-04-01,Central,SKU022,841,253,572,522,302
2024-05-01,North,SKU001,1189,145,416,918,300
2024-05-01,South,SKU001,282,186,210,258,215
2024-05-01,East,SKU001,925,674,172,1427,308
2024-05-01,West,SKU001,922,126,604,444,339
2024-05-01,Central,SKU001,502,766,293,975,196
2024-05-01,North,SKU002,910,776,878,808,174
2024-05-01,South,SKU002,1117,448,764,801,326
2024-05-01,East,SKU002,292,212,417,87,340
2024-05-01,West,SKU002,1130,487,759,858,345
2024-05-01,Central,SKU002,525,654,530,649,260
2024-05-01,North,SKU003,464,749,648,565,242
2024-05-01,South,SKU003,886,157,863,180,219
2024-05-01,East,SKU003,211,715,345,581,298
2024-05-01,West,SKU003,665,334,644,355,227
2024-05-01,Central,SKU003,1004,457,222,1239,182
2024-05-01,North,SKU004,723,438,753,408,224
2024-05-01,South,SKU004,326,234,474,86,349
2024-05-01,East,SKU004,493,226,353,366,314
2024-05-01,West,SKU004,479,421,221,679,305
2024-05-01,Central,SKU004,321,533,845,9,302
2024-05-01,North,SKU005,980,778,277,1481,266
2024-05-01,South,SKU005,737,640,722,655,197
2024-05-01,East,SKU005,505,445,203,747,337
2024-05-01,West,SKU005,677,490,803,364,338
2024-05-01,Central,SKU005,487,544,572,459,288
2024-05-01,North,SKU006,354,207,266,295,174
2024-05-01,South,SKU006,950,579,332,1197,246
2024-05-01,East,SKU006,540,561,826,275,253
2024-05-01,West,SKU006,845,499,515,829,273
2024-05-01,Central,SKU006,713,103,322,494,239
2024-05-01,North,SKU007,668,203,693,178,179
2024-05-01,South,SKU007,769,360,683,446,233
2024-05-01,East,SKU007,941,508,385,1064,336
2024-05-01,West,SKU007,850,108,562,396,298
2024-05-01,Central,SKU007,548,641,423,766,263
2024-05-01,North,SKU008,1177,105,767,515,194
2024-05-01,South,SKU008,875,106,656,325,264
2024-05-01,East,SKU008,1151,275,245,1181,211
2024-05-01,West,SKU008,409,700,768,341,153
2024-05-01,Central,SKU008,998,715,814,899,317
2024-05-01,North,SKU009,1059,510,261,1308,157
2024-05-01,South,SKU009,362,559,347,574,304
2024-05-01,East,SKU009,521,205,266,460,339
2024-05-01,West,SKU009,590,324,696,218,164
2024-05-01,Central,SKU009,835,623,751,707,340
2024-05-01,North,SKU010,259,271,156,374,172
2024-05-01,South,SKU010,1116,449,407,1158,218
2024-05-01,East,SKU010,384,180,306,258,160
2024-05-01,West,SKU010,616,110,666,60,289
2024-05-01,Central,SKU010,604,450,633,421,241
2024-05-01,North,SKU011,251,556,649,158,211
2024-05-01,South,SKU011,538,494,431,601,306
2024-05-01,East,SKU011,830,400,514,716,325
2024-05-01,West,SKU011,969,694,500,1163,310
2024-05-01,Central,SKU011,992,569,430,1131,296
2024-05-01,North,SKU012,1144,544,229,1459,212
2024-05-01,South,SKU012,282,345,858,0,204
2024-05-01,East,SKU012,1035,692,724,1003,276
2024-05-01,West,SKU012,829,440,418,851,227
2024-05-01,Central,SKU012,374,643,666,351,183
2024-05-01,North,SKU013,1189,460,455,1194,330
2024-05-01,South,SKU013,1047,610,810,847,312
2024-05-01,East,SKU013,622,470,479,613,264
2024-05-01,West,SKU013,456,462,179,739,198
2024-05-01,Central,SKU013,900,650,817,733,307
2024-05-01,North,SKU014,286,419,326,379,347
2024-05-01,South,SKU014,1111,373,531,953,252
2024-05-01,East,SKU014,239,733,468,504,187
2024-05-01,West,SKU014,955,719,407,1267,194
2024-05-01,Central,SKU014,849,415,469,795,284
2024-05-01,North,SKU015,339,786,467,658,276
2024-05-01,South,SKU015,256,524,216,564,291
2024-05-01,East,SKU015,831,305,768,368,348
2024-05-01,West,SKU015,227,143,457,0,227
2024-05-01,Central,SKU015,562,782,387,957,199
2024-05-01,North,SKU016,380,497,820,57,259
2024-05-01,South,SKU016,717,696,636,777,168
2024-05-01,East,SKU016,241,152,676,0,176
2024-05-01,West,SKU016,278,332,702,0,322
2024-05-01,Central,SKU016,850,342,225,967,150
2024-05-01,North,SKU017,348,538,561,325,247
2024-05-01,South,SKU017,804,735,331,1208,262
2024-05-01,East,SKU017,451,272,891,0,303
2024-05-01,West,SKU017,831,699,428,1102,202
2024-05-01,Central,SKU017,276,509,591,194,232
2024-05-01,North,SKU018,851,177,662,366,263
2024-05-01,South,SKU018,409,531,424,516,209
2024-05-01,East,SKU018,658,510,310,858,241
2024-05-01,West,SKU018,878,448,412,914,337
2024-05-01,Central,SKU018,502,739,581,660,160
2024-05-01,North,SKU019,383,421,715,89,288
2024-05-01,South,SKU019,1018,156,773,401,271
2024-05-01,East,SKU019,436,333,312,457,242
2024-05-01,West,SKU019,269,282,190,361,313
2024-05-01,Central,SKU019,674,670,836,508,167
2024-05-01,North,SKU020,806,742,647,901,153
2024-05-01,South,SKU020,231,156,400,0,303
2024-05-01,East,SKU020,1016,544,529,1031,295
2024-05-01,West,SKU020,608,452,400,660,167
2024-05-01,Central,SKU020,283,177,212,248,253
2024-05-01,North,SKU021,584,489,413,660,203
2024-05-01,South,SKU021,573,218,785,6,290
2024-05-01,East,SKU021,1168,335,332,1171,267
2024-05-01,West,SKU021,564,780,329,1015,184
2024-05-01,Central,SKU021,621,556,470,707,268
2024-05-01,North,SKU022,1158,466,241,1383,294
2024-05-01,South,SKU022,464,637,285,816,170
2024-05-01,East,SKU022,1115,223,722,616,150
2024-05-01,West,SKU022,759,786,182,1363,259
2024-05-01,Central,SKU022,1119,441,595,965,296
2024-06-01,North,SKU001,1180,402,668,914,346
2024-06-01,South,SKU001,1122,507,301,1328,219
2024-06-01,East,SKU001,1145,580,444,1281,263
2024-06-01,West,SKU001,410,611,462,559,286
2024-06-01,Central,SKU001,915,555,521,949,209
2024-06-01,North,SKU002,235,329,259,305,323
2024-06-01,South,SKU002,796,358,472,682,235
2024-06-01,East,SKU002,453,573,179,847,251
2024-06-01,West,SKU002,298,425,561,162,346
2024-06-01,Central,SKU002,715,700,468,947,293
2024-06-01,North,SKU003,509,354,239,624,233
2024-06-01,South,SKU003,919,456,580,795,268
2024-06-01,East,SKU003,202,741,848,95,252
2024-06-01,West,SKU003,212,192,836,0,292
2024-06-01,Central,SKU003,950,383,641,692,172
